               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082609,            0.025073,                   0,                0.41,             0.50506,             0.38816,             0.11991,            0.057581,            0.016614,                   0,             0.07009,           0.0033234,           0.0033234
                   1,             0.06177,            0.018706,                   0,             0.57466,             0.53867,             0.52901,             0.17543,            0.056179,            0.015013,                   0,            0.039958,           0.0065249,           0.0065249
                   2,            0.058144,            0.017533,                   0,              0.5731,             0.43416,             0.47931,             0.17164,            0.057637,            0.017127,                   0,           0.0096942,           0.0095944,           0.0095944
                   3,            0.055807,            0.017606,                   0,             0.61054,             0.61855,              0.6182,             0.23045,            0.049401,            0.014847,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.052454,            0.017008,                   0,             0.64844,              0.5936,             0.61868,             0.22806,            0.051014,            0.014148,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.050672,            0.016596,                   0,             0.71571,              0.6593,             0.68647,             0.26895,            0.047271,            0.013463,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.049894,            0.016192,                   0,             0.70967,             0.68232,             0.70483,             0.28603,            0.046449,            0.013405,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.048336,            0.016336,                   0,             0.70146,             0.69705,             0.71459,             0.29273,             0.04555,              0.0135,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.047905,            0.015619,                   0,             0.73798,             0.68599,             0.72987,             0.30232,            0.045598,            0.013313,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.047291,             0.01556,                   0,             0.73089,             0.69015,             0.72748,             0.30535,            0.045228,            0.013196,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.046786,            0.015273,                   0,             0.75737,             0.66989,             0.74424,             0.31147,            0.044514,             0.01343,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.045978,            0.015378,                   0,             0.72969,             0.70718,             0.73656,             0.30651,            0.044502,            0.013029,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.045453,            0.015124,                   0,             0.73222,             0.70249,             0.73481,             0.30809,            0.044646,            0.013125,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.044894,            0.014982,                   0,             0.77705,             0.71086,             0.76549,             0.32691,            0.043636,            0.012715,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.044208,            0.014982,                   0,             0.74478,             0.70488,             0.74795,             0.31897,            0.044402,            0.013161,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.044329,            0.014739,                   0,             0.74275,              0.7279,             0.76181,             0.33562,            0.043087,            0.012634,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.043917,            0.014819,                   0,             0.74885,             0.74355,             0.77809,              0.3349,            0.043384,            0.012494,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.043542,            0.014974,                   0,             0.79313,             0.71869,             0.78671,             0.33928,             0.04321,             0.01252,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.043315,            0.014705,                   0,             0.74829,             0.73911,             0.77911,               0.335,            0.043472,            0.012517,                   0,            0.006634,            0.006634,            0.006634
